GEOID8,NEAR_DIST,POPDENS,GEOID8,CHITRACT
17031510300,62227.9579,632.819397,17031510300,1
17031520100,64568.73793,260.8817139,17031520100,1
17031590700,22363.81953,1343.276245,17031590700,1
17031600400,15303.60727,5068.75,17031600400,1
17031824115,110904.3545,552.8560791,17031824115,
17031825303,117636.5237,760.5980835,17031825303,
17031830007,148167.5404,469.4569702,17031830007,
17031813801,33588.68593,1309.864502,17031813801,
17031830600,45412.66498,2880.144043,17031830600,1
17031830800,33133.53859,2758.543945,17031830800,1
17031830700,30070.92225,1793.89917,17031830700,1
17031830900,23180.3468,1198.763794,17031830900,1
17031835200,44651.06819,795.7893677,17031835200,1
17031839900,20770.96521,1482.988281,17031839900,1
17031839700,19003.91423,2837.009766,17031839700,1
17031839800,17584.98205,3895.166748,17031839800,1
17031834800,36124.87071,1128.015259,17031834800,1
17031834700,33575.42118,1031.889526,17031834700,1
17031832000,24565.51441,4749.422852,17031832000,1
17031832500,17638.87372,1732.311768,17031832500,1
17031832300,18093.14217,986.6802979,17031832300,1
17031838300,7746.974217,2860.63916,17031838300,1
17031831800,42628.46997,1185.432251,17031831800,1
17031831700,41112.39721,1621.5625,17031831700,1
17031835100,37055.54032,2147.266113,17031835100,1
17031835000,39453.48914,2459.595215,17031835000,1
17031843700,28673.37342,815.0529785,17031843700,1
17031220702,31483.28536,2451.439209,17031220702,1
17031842100,29275.00299,1261.598511,17031842100,1
17031843300,18884.34945,1038.581055,17031843300,1
17031824123,116298.2187,763.9536743,17031824123,
17031804405,176408.5148,823.0670166,17031804405,
17031831100,33047.81642,1965.573731,17031831100,1
17031831500,46734.20727,1772.650635,17031831500,1
17031831600,48947.49827,2007.978027,17031831600,1
17031831200,30987.7684,3249.099365,17031831200,1
17031831000,18016.25458,3613.671875,17031831000,1
17031843000,26409.05959,1042.987793,17031843000,1
17031843100,21353.08312,687.8956299,17031843100,1
17031842900,14114.53935,433.4739685,17031842900,1
17031843500,24663.79942,1231.414307,17031843500,1
17031842000,17118.20559,1694.437256,17031842000,1
17031804508,157103.7983,966.1958618,17031804508,
17031770901,60798.49394,1633.945801,17031770901,
17031832400,21492.88406,4302.682617,17031832400,1
17031832900,9765.36994,1903.362427,17031832900,1
17031840300,23410.58127,1948.929565,17031840300,1
17031823805,88910.13155,849.9273071,17031823805,
17031838600,20591.98183,2379.474609,17031838600,1
17031839600,19974.75131,2040.629517,17031839600,1
17031834900,40721.41149,1153.607788,17031834900,1
17031030603,38663.78645,6804.913574,17031030603,1
17031832200,20024.0727,3177.571045,17031832200,1
17031836700,20618.8825,779.9663086,17031836700,1
17031836800,23518.79005,1273.228394,17031836800,1
17031836600,22943.09958,1782.762329,17031836600,1
17031833000,8167.680175,1658.277222,17031833000,1
17031842500,38263.12264,949.1209106,17031842500,1
17031841800,42817.92868,564.6578369,17031841800,1
17031980100,48485.87405,2.3301511,17031980100,1
17031842800,33249.89624,1943.792603,17031842800,1
17031843800,29451.14203,589.5307617,17031843800,1
17031841000,12504.44159,415.9510498,17031841000,1
17031836500,20879.40044,1259.246948,17031836500,1
17031843900,40869.67246,957.3381348,17031843900,1
17031834200,47572.94077,1857.108643,17031834200,1
17031842200,10325.87702,1154.758667,17031842200,1
17031838000,14542.09784,1900.969116,17031838000,1
17031010702,47923.53588,5156.051758,17031010702,1
17031010503,44223.46779,5097.959473,17031010503,1
17031010502,45728.56139,7014.446777,17031010502,1
17031010701,48403.96438,3299.536865,17031010701,1
17031020902,43239.866,3451.716065,17031020902,1
17031020302,49655.36288,3022.033936,17031020302,1
17031020601,47825.87656,4372.885254,17031020601,1
17031020301,50193.19567,2459.897217,17031020301,1
17031760803,68055.62598,3235.265869,17031760803,1
17031530501,75668.75632,1343.936279,17031530501,1
17031530503,79608.3102,1182.760986,17031530503,1
17031650301,47941.12919,2282.9646,17031650301,1
17031650302,46025.40161,2628.677734,17031650302,1
17031530502,79110.95241,858.0789795,17031530502,1
17031803611,143663.8967,1965.117188,17031803611,
17031831300,33131.94182,838.0775146,17031831300,1
17031831400,35302.56835,517.2880859,17031831400,1
17031837000,19399.57622,1910.613159,17031837000,1
17031842400,50829.87746,591.0578003,17031842400,1
17031832100,26770.43034,5926.589844,17031832100,1
17031020802,44756.89903,4522.793457,17031020802,1
17031020702,45987.11976,4229.255371,17031020702,1
17031020801,42332.71482,3323.604004,17031020801,1
17031040202,40020.33989,4798.631348,17031040202,1
17031040201,37662.93611,3428.671143,17031040201,1
17031040402,35852.48138,3040.182129,17031040402,1
17031031501,31842.2824,10060.91113,17031031501,1
17031081201,6298.83765,10592.25195,17031081201,1
17031063301,19637.06817,11652.8457,17031063301,1
17031490901,67792.37833,1553.675415,17031490901,1
17031490902,65176.22354,1499.701538,17031490902,1
