ORIG_FID,STATION_ID,LONGNAME,LINES,ADA,PKNRD,GEOID20,ALAND20,POP20,NEAR_FID
0,230,Cumberland,Blue Line,1,1,170310630003001,7576,88,49
1,1350,Oak Park-Lake,Green Line (Lake),0,0,170310408002006,7069,75,92
2,1260,Austin-Lake,Green Line (Lake),0,0,170318358001018,11442,0,32
3,170,Ashland-Lake,"Green (Lake), Pink",1,0,170318308003003,10060,181,17
4,1160,Clinton-Lake,"Green (Lake), Pink",1,0,170313109003005,10341,140,79
5,490,Grand/Milwaukee,Blue Line (O'Hare),0,0,170318129002011,11636,45,94
6,1410,Chicago/Milwaukee,Blue Line,0,0,170316903002005,12612,47,72
7,590,Damen/Milwaukee,Blue Line,0,0,170310630002005,5266,79,44
8,570,California/Milwaukee,Blue Line (O'Hare),0,0,170318311002005,7779,82,105
9,60,Belmont-O'Hare,Blue Line,0,0,170310402013017,5172,26,92
10,1330,Montrose-O'Hare,Blue Line,0,0,170310630003004,7040,152,49
11,710,Chicago/Franklin,"Brown, Purple (Express)",1,0,170311408001009,7493,64,63
12,1480,Western-Ravenswood,Brown Line,1,0,170318321002003,5679,123,123
13,870,Francisco,Brown Line,1,0,170318371001006,12965,65,42
14,1440,Addison-Ravenswood,Brown Line,1,0,170318447003019,6035,24,111
15,1310,Paulina,Brown Line,1,0,170312607002012,14932,31,93
16,90,Damen-Ravenswood,Brown Line,1,0,170312213001000,6673,69,8
17,1500,Montrose-Ravenswood,Brown Line,1,0,170310301013001,14578,461,48
18,160,LaSalle/Van Buren,"Brown, Orange, Pink, Purple (Express)",0,0,170318321003006,7180,58,123
19,260,State/Lake,"Brown, Orange, Pink,  Purple (Express), Green",0,0,170318391001088,8834,0,60
20,1660,Lake/State,Red Line,1,0,170318402001026,1553,0,77
21,1490,Harrison,Red Line,0,0,170310306031003,7076,20,131
22,1280,Jefferson Park,Blue Line,1,0,170318102001007,7605,83,129
23,1430,87th,Red Line,1,0,170318095001012,9892,165,52
24,240,79th,Red Line,1,0,170313515002001,10415,12,26
25,1230,47th-Dan Ryan,Red Line,1,0,170311006004032,4844,0,100
26,190,Sox-35th-Dan Ryan,Red Line,1,0,170318360001003,4385,0,55
27,1000,Cermak-Chinatown,Red Line,1,0,170310311001000,6136,0,41
28,720,Cottage Grove,Green Line,1,0,170310629002005,9004,107,44
29,1140,King Drive,Green Line,1,0,170313405001002,13234,0,26
30,940,Halsted/63rd,Green Line,1,0,170318094021010,6956,38,52
31,290,Ashland/63rd,Green Line (Englewood),1,1,170312924002009,6362,28,82
32,1080,47th-South Elevated,Green Line,1,0,170318417001014,13876,0,111
33,410,Roosevelt/Wabash,Orange & Green Lines,1,0,170312808001015,7962,48,67
34,890,O'Hare Airport,Blue Line,1,0,170312922002014,6127,9,81
35,770,Lawrence,Red Line,0,0,170318391002030,1850,0,115
36,1320,Belmont-North Main,"Red, Brown, Purple (Express)",1,0,170310407003009,11789,64,92
37,650,North/Clybourn,Red Line,0,0,170311105021005,11053,18,22
38,1300,Loyola,Red Line,1,0,170318125003010,11153,33,101
39,400,Noyes,"Purple Line, Evanston Express",0,0,170312520001010,8048,38,118
40,900,Howard,"Red, Yellow, Purple, Evanston Express",1,1,170311408005018,5924,48,13
41,340,Berwyn,Red Line,0,0,170313812002005,4380,0,32
42,1070,Kedzie-Lake,Green Line (Lake),1,0,170318368002002,2456,9,42
43,100,Morse,Red Line,0,0,170310301011001,14557,438,48
44,530,Diversey,"Brown, Purple (Express)",1,0,170318326003005,11865,202,117
45,1120,35-Bronzeville-IIT,Green Line,1,0,170318390003004,5704,194,143
46,270,Main,"Purple Line, Evanston Express",0,0,170310317003000,23016,197,116
47,760,Granville,Red Line,1,0,170310630001011,24133,0,49
48,880,Thorndale,Red Line,0,0,170313206002020,2545,83,33
49,1210,Wellington,"Brown, Purple (Express)",1,0,170312106013006,7723,92,9
50,1220,Fullerton,"Red, Brown, Purple (Express)",1,0,170318125003017,8663,53,101
51,140,Dempster-Skokie,Yellow Line,1,1,170316711001003,20704,1,31
52,50,Davis,"Purple Line, Evanston Express",1,0,170312518002004,7399,52,102
53,690,Dempster,"Purple Line, Evanston Express",0,0,170310306031004,12303,10,131
54,370,Washington/Dearborn,Blue Line,0,0,170310102021006,2974,55,40
55,1270,43rd,Green Line,1,0,170312925003025,7670,74,83
