GEO_ID,NAME,S0101_C01_001E,S0101_C01_002E,S1903_C03_001E
Geography,Geographic Area Name,POP,UNDER5,MEDINC
1400000US17031010100,"Census Tract 101, Cook County, Illinois",4644,364,42891
1400000US17031010201,"Census Tract 102.01, Cook County, Illinois",7488,592,39955
1400000US17031010202,"Census Tract 102.02, Cook County, Illinois",3154,257,43839
1400000US17031010300,"Census Tract 103, Cook County, Illinois",6135,312,44375
1400000US17031010400,"Census Tract 104, Cook County, Illinois",5193,38,37198
1400000US17031010501,"Census Tract 105.01, Cook County, Illinois",4039,277,43097
1400000US17031010502,"Census Tract 105.02, Cook County, Illinois",2960,139,40492
1400000US17031010503,"Census Tract 105.03, Cook County, Illinois",1973,65,17188
1400000US17031010600,"Census Tract 106, Cook County, Illinois",6363,177,57118
1400000US17031010701,"Census Tract 107.01, Cook County, Illinois",3562,288,53045
1400000US17031010702,"Census Tract 107.02, Cook County, Illinois",5209,530,47779
1400000US17031020100,"Census Tract 201, Cook County, Illinois",3742,211,51068
1400000US17031020200,"Census Tract 202, Cook County, Illinois",6980,660,100689
1400000US17031020301,"Census Tract 203.01, Cook County, Illinois",5447,658,62917
1400000US17031020302,"Census Tract 203.02, Cook County, Illinois",5116,388,90560
1400000US17031020400,"Census Tract 204, Cook County, Illinois",4011,266,65776
1400000US17031020500,"Census Tract 205, Cook County, Illinois",6744,626,41673
1400000US17031020601,"Census Tract 206.01, Cook County, Illinois",6112,594,54544
1400000US17031020602,"Census Tract 206.02, Cook County, Illinois",5239,464,70795
1400000US17031020701,"Census Tract 207.01, Cook County, Illinois",1764,112,74167
1400000US17031020702,"Census Tract 207.02, Cook County, Illinois",8674,924,53350
1400000US17031020801,"Census Tract 208.01, Cook County, Illinois",5859,261,57295
1400000US17031020802,"Census Tract 208.02, Cook County, Illinois",8536,736,51980
1400000US17031020901,"Census Tract 209.01, Cook County, Illinois",6094,335,44653
1400000US17031020902,"Census Tract 209.02, Cook County, Illinois",4445,335,42472
1400000US17031030101,"Census Tract 301.01, Cook County, Illinois",3791,247,46047
1400000US17031030102,"Census Tract 301.02, Cook County, Illinois",3192,50,48357
1400000US17031030103,"Census Tract 301.03, Cook County, Illinois",2490,41,61313
1400000US17031030104,"Census Tract 301.04, Cook County, Illinois",3425,29,41536
1400000US17031030200,"Census Tract 302, Cook County, Illinois",5863,165,77226
1400000US17031030300,"Census Tract 303, Cook County, Illinois",3722,234,48626
1400000US17031030400,"Census Tract 304, Cook County, Illinois",2606,149,68102
1400000US17031030500,"Census Tract 305, Cook County, Illinois",6870,553,101607
1400000US17031030601,"Census Tract 306.01, Cook County, Illinois",3981,288,40846
1400000US17031030603,"Census Tract 306.03, Cook County, Illinois",2355,97,41760
1400000US17031030604,"Census Tract 306.04, Cook County, Illinois",3267,134,50732
1400000US17031030701,"Census Tract 307.01, Cook County, Illinois",1528,67,44375
1400000US17031030702,"Census Tract 307.02, Cook County, Illinois",2352,61,60992
1400000US17031030703,"Census Tract 307.03, Cook County, Illinois",3035,47,43469
1400000US17031030706,"Census Tract 307.06, Cook County, Illinois",2774,117,48256
1400000US17031030800,"Census Tract 308, Cook County, Illinois",4389,144,84794
1400000US17031030900,"Census Tract 309, Cook County, Illinois",3053,86,88796
1400000US17031031000,"Census Tract 310, Cook County, Illinois",3847,239,81898
1400000US17031031100,"Census Tract 311, Cook County, Illinois",4596,227,71420
1400000US17031031200,"Census Tract 312, Cook County, Illinois",6235,294,29676
1400000US17031031300,"Census Tract 313, Cook County, Illinois",7796,323,54325
1400000US17031031400,"Census Tract 314, Cook County, Illinois",4840,89,71181
1400000US17031031501,"Census Tract 315.01, Cook County, Illinois",4794,343,42519
1400000US17031031502,"Census Tract 315.02, Cook County, Illinois",4693,304,34201
1400000US17031031700,"Census Tract 317, Cook County, Illinois",6809,298,69688
1400000US17031031800,"Census Tract 318, Cook County, Illinois",1976,93,74309
1400000US17031031900,"Census Tract 319, Cook County, Illinois",2553,106,73424
1400000US17031032100,"Census Tract 321, Cook County, Illinois",7166,176,64712
1400000US17031040100,"Census Tract 401, Cook County, Illinois",3934,354,81984
1400000US17031040201,"Census Tract 402.01, Cook County, Illinois",6875,429,86557
1400000US17031040202,"Census Tract 402.02, Cook County, Illinois",7427,809,46078
1400000US17031040300,"Census Tract 403, Cook County, Illinois",2844,161,83000
1400000US17031040401,"Census Tract 404.01, Cook County, Illinois",3442,323,103696
1400000US17031040402,"Census Tract 404.02, Cook County, Illinois",4796,372,89125
1400000US17031040600,"Census Tract 406, Cook County, Illinois",2635,194,84362
1400000US17031040700,"Census Tract 407, Cook County, Illinois",3320,263,96791
1400000US17031040800,"Census Tract 408, Cook County, Illinois",1629,81,79922
1400000US17031040900,"Census Tract 409, Cook County, Illinois",1810,39,73681
1400000US17031050100,"Census Tract 501, Cook County, Illinois",2832,152,120045
1400000US17031050200,"Census Tract 502, Cook County, Illinois",5594,486,113984
1400000US17031050300,"Census Tract 503, Cook County, Illinois",2550,111,129583
1400000US17031050500,"Census Tract 505, Cook County, Illinois",5911,914,160045
1400000US17031050600,"Census Tract 506, Cook County, Illinois",2178,150,103125
1400000US17031050700,"Census Tract 507, Cook County, Illinois",1435,131,120278
1400000US17031050800,"Census Tract 508, Cook County, Illinois",1527,217,146750
1400000US17031050900,"Census Tract 509, Cook County, Illinois",1452,64,116399
1400000US17031051000,"Census Tract 510, Cook County, Illinois",1783,204,118523
1400000US17031051100,"Census Tract 511, Cook County, Illinois",1820,248,142708
1400000US17031051200,"Census Tract 512, Cook County, Illinois",1531,109,145481
1400000US17031051300,"Census Tract 513, Cook County, Illinois",2933,177,192083
1400000US17031051400,"Census Tract 514, Cook County, Illinois",2220,256,129531
1400000US17031060100,"Census Tract 601, Cook County, Illinois",3109,355,101375
1400000US17031060200,"Census Tract 602, Cook County, Illinois",2191,214,83897
1400000US17031060300,"Census Tract 603, Cook County, Illinois",2918,142,115221
1400000US17031060400,"Census Tract 604, Cook County, Illinois",3981,540,144453
1400000US17031060500,"Census Tract 605, Cook County, Illinois",1233,31,48393
1400000US17031060800,"Census Tract 608, Cook County, Illinois",5225,157,72061
1400000US17031060900,"Census Tract 609, Cook County, Illinois",6815,212,67257
1400000US17031061000,"Census Tract 610, Cook County, Illinois",2224,75,109973
1400000US17031061100,"Census Tract 611, Cook County, Illinois",1431,71,103889
1400000US17031061200,"Census Tract 612, Cook County, Illinois",2161,157,101683
1400000US17031061500,"Census Tract 615, Cook County, Illinois",2051,105,124231
1400000US17031061800,"Census Tract 618, Cook County, Illinois",1409,57,64423
1400000US17031061901,"Census Tract 619.01, Cook County, Illinois",3384,37,54516
1400000US17031061902,"Census Tract 619.02, Cook County, Illinois",4607,90,75670
1400000US17031062000,"Census Tract 620, Cook County, Illinois",3057,211,85144
1400000US17031062100,"Census Tract 621, Cook County, Illinois",3710,126,94607
1400000US17031062200,"Census Tract 622, Cook County, Illinois",3252,365,153646
1400000US17031062300,"Census Tract 623, Cook County, Illinois",1616,139,166094
1400000US17031062400,"Census Tract 624, Cook County, Illinois",1510,191,124355
1400000US17031062500,"Census Tract 625, Cook County, Illinois",1580,112,160208
1400000US17031062600,"Census Tract 626, Cook County, Illinois",2438,256,182563
1400000US17031062700,"Census Tract 627, Cook County, Illinois",2972,252,147000
1400000US17031062800,"Census Tract 628, Cook County, Illinois",3443,268,180431
1400000US17031062900,"Census Tract 629, Cook County, Illinois",3759,150,113243
1400000US17031063000,"Census Tract 630, Cook County, Illinois",3506,167,99041
1400000US17031063100,"Census Tract 631, Cook County, Illinois",2309,80,94929
1400000US17031063200,"Census Tract 632, Cook County, Illinois",6285,166,67406
1400000US17031063301,"Census Tract 633.01, Cook County, Illinois",2925,118,61139
1400000US17031063302,"Census Tract 633.02, Cook County, Illinois",3867,225,85152
1400000US17031063303,"Census Tract 633.03, Cook County, Illinois",1160,14,92200
1400000US17031063400,"Census Tract 634, Cook County, Illinois",2628,176,104878
1400000US17031070101,"Census Tract 701.01, Cook County, Illinois",3848,235,77697
1400000US17031070102,"Census Tract 701.02, Cook County, Illinois",3394,60,84365
1400000US17031070103,"Census Tract 701.03, Cook County, Illinois",1469,8,64283
1400000US17031070200,"Census Tract 702, Cook County, Illinois",4260,128,97847
1400000US17031070300,"Census Tract 703, Cook County, Illinois",3729,144,177500
1400000US17031070400,"Census Tract 704, Cook County, Illinois",3277,179,182750
1400000US17031070500,"Census Tract 705, Cook County, Illinois",3256,171,136016
1400000US17031070600,"Census Tract 706, Cook County, Illinois",3305,260,216667
1400000US17031070700,"Census Tract 707, Cook County, Illinois",3880,355,143393
1400000US17031071000,"Census Tract 710, Cook County, Illinois",4836,161,189219
1400000US17031071100,"Census Tract 711, Cook County, Illinois",3397,122,175625
1400000US17031071200,"Census Tract 712, Cook County, Illinois",1994,128,115250
1400000US17031071300,"Census Tract 713, Cook County, Illinois",4378,122,103409
1400000US17031071400,"Census Tract 714, Cook County, Illinois",4998,112,120938
1400000US17031071500,"Census Tract 715, Cook County, Illinois",6157,138,96050
1400000US17031071600,"Census Tract 716, Cook County, Illinois",1975,151,157083
1400000US17031071700,"Census Tract 717, Cook County, Illinois",1622,59,173750
1400000US17031071800,"Census Tract 718, Cook County, Illinois",2579,200,142450
1400000US17031080100,"Census Tract 801, Cook County, Illinois",6944,94,117802
1400000US17031080201,"Census Tract 802.01, Cook County, Illinois",3038,21,113219
1400000US17031080202,"Census Tract 802.02, Cook County, Illinois",3321,89,90918
1400000US17031080300,"Census Tract 803, Cook County, Illinois",4697,57,141439
1400000US17031080400,"Census Tract 804, Cook County, Illinois",4440,565,43844
1400000US17031081000,"Census Tract 810, Cook County, Illinois",8078,0,69379
1400000US17031081100,"Census Tract 811, Cook County, Illinois",4404,164,81976
1400000US17031081201,"Census Tract 812.01, Cook County, Illinois",4688,108,99759
1400000US17031081202,"Census Tract 812.02, Cook County, Illinois",3011,104,193906
1400000US17031081300,"Census Tract 813, Cook County, Illinois",5726,77,92731
1400000US17031081401,"Census Tract 814.01, Cook County, Illinois",2039,30,69432
1400000US17031081402,"Census Tract 814.02, Cook County, Illinois",5429,313,121839
1400000US17031081403,"Census Tract 814.03, Cook County, Illinois",9069,313,107833
1400000US17031081500,"Census Tract 815, Cook County, Illinois",4645,124,115938
1400000US17031081600,"Census Tract 816, Cook County, Illinois",3986,250,120164
1400000US17031081700,"Census Tract 817, Cook County, Illinois",4377,48,109818
1400000US17031081800,"Census Tract 818, Cook County, Illinois",10974,421,154089
1400000US17031081900,"Census Tract 819, Cook County, Illinois",1051,95,164554
1400000US17031090100,"Census Tract 901, Cook County, Illinois",3486,265,113843
1400000US17031090200,"Census Tract 902, Cook County, Illinois",6166,595,114511
1400000US17031090300,"Census Tract 903, Cook County, Illinois",1350,109,97885
1400000US17031100100,"Census Tract 1001, Cook County, Illinois",5746,360,100500
1400000US17031100200,"Census Tract 1002, Cook County, Illinois",6755,605,96831
1400000US17031100300,"Census Tract 1003, Cook County, Illinois",6343,237,80339
1400000US17031100400,"Census Tract 1004, Cook County, Illinois",3386,236,106744
1400000US17031100500,"Census Tract 1005, Cook County, Illinois",5620,265,87443
1400000US17031100600,"Census Tract 1006, Cook County, Illinois",4821,435,71198
1400000US17031100700,"Census Tract 1007, Cook County, Illinois",5417,354,92147
1400000US17031110100,"Census Tract 1101, Cook County, Illinois",5686,412,82538
1400000US17031110200,"Census Tract 1102, Cook County, Illinois",3107,173,65034
1400000US17031110300,"Census Tract 1103, Cook County, Illinois",5305,268,85263
1400000US17031110400,"Census Tract 1104, Cook County, Illinois",4480,247,68080
1400000US17031110501,"Census Tract 1105.01, Cook County, Illinois",5076,196,91721
