GEO_ID,NAME,POP
1600000US0100100,"Abanda CDP, Alabama",48
1600000US0100124,"Abbeville city, Alabama",2470
1600000US0100460,"Adamsville city, Alabama",4291
1600000US0100484,"Addison town, Alabama",651
1600000US0100676,"Akron town, Alabama",354
1600000US0100820,"Alabaster city, Alabama",33633
1600000US0100988,"Albertville city, Alabama",22584
1600000US0101132,"Alexander City city, Alabama",14686
1600000US0101180,"Alexandria CDP, Alabama",3420
1600000US0101228,"Aliceville city, Alabama",2338
1600000US0101396,"Allgood town, Alabama",788
1600000US0101660,"Altoona town, Alabama",1211
1600000US0101708,"Andalusia city, Alabama",8841
1600000US0101756,"Anderson town, Alabama",309
1600000US0101852,"Anniston city, Alabama",21377
1600000US0102116,"Arab city, Alabama",8573
1600000US0102260,"Ardmore town, Alabama",1444
1600000US0102320,"Argo town, Alabama",4456
1600000US0102428,"Ariton town, Alabama",706
1600000US0102500,"Arley town, Alabama",518
1600000US0102836,"Ashford town, Alabama",2438
1600000US0102860,"Ashland town, Alabama",1779
1600000US0102908,"Ashville city, Alabama",2748
1600000US0102956,"Athens city, Alabama",27474
1600000US0103004,"Atmore city, Alabama",8389
1600000US0103028,"Attalla city, Alabama",5829
1600000US0103076,"Auburn city, Alabama",78738
1600000US0103220,"Autaugaville town, Alabama",1119
1600000US0103364,"Avon town, Alabama",388
1600000US0103508,"Axis CDP, Alabama",243
1600000US0103556,"Babbie town, Alabama",559
1600000US0103676,"Baileyton town, Alabama",976
1600000US0103724,"Bakerhill town, Alabama",280
1600000US0103820,"Ballplay CDP, Alabama",1149
1600000US0103940,"Banks town, Alabama",298
1600000US0104660,"Bay Minette city, Alabama",8215
1600000US0104684,"Bayou La Batre city, Alabama",1977
1600000US0104852,"Bear Creek town, Alabama",1317
1600000US0104900,"Beatrice town, Alabama",169
1600000US0104948,"Beaverton town, Alabama",184
1600000US0105140,"Belgreen CDP, Alabama",33
1600000US0105164,"Belk town, Alabama",327
1600000US0105188,"Bellamy CDP, Alabama",190
1600000US0105212,"Belle Fontaine CDP, Alabama",853
1600000US0105692,"Benton town, Alabama",34
1600000US0105812,"Berlin town, Alabama",592
1600000US0105932,"Berry town, Alabama",1063
1600000US0105980,"Bessemer city, Alabama",25655
1600000US0106460,"Billingsley town, Alabama",71
1600000US0107000,"Birmingham city, Alabama",199322
1600000US0107120,"Black town, Alabama",462
1600000US0107456,"Blountsville town, Alabama",1757
1600000US0107588,"Blue Ridge CDP, Alabama",1375
1600000US0107672,"Blue Springs town, Alabama",95
1600000US0107912,"Boaz city, Alabama",10847
1600000US0108104,"Boligee town, Alabama",213
1600000US0108248,"Bon Air town, Alabama",116
1600000US0108272,"Bon Secour CDP, Alabama",3094
1600000US0108680,"Boykin CDP, Alabama",280
1600000US0109016,"Brantley town, Alabama",915
