ID,NAME,POP2,PERCPOV,PERCNOHS,UNEMP,PERCVAC,WHITE,BLACK,ASIAN,OTHER,HISP,GEOID9
1400000US17031010100,"Census Tract 101, Cook County, Illinois",4544,27.57482394,14.53784026,141,10.51272593,2362,1617,91,248,704,17031010100
1400000US17031010201,"Census Tract 102.01, Cook County, Illinois",7474,29.43537597,15.90214067,136,7.544088831,2998,2640,426,614,1748,17031010201
1400000US17031010202,"Census Tract 102.02, Cook County, Illinois",2825,16.63716814,16.9094693,115,5.316653636,1078,919,185,551,828,17031010202
1400000US17031010300,"Census Tract 103, Cook County, Illinois",5192,12.01848998,9.841869247,120,6.050471268,2696,1486,132,688,875,17031010300
1400000US17031010400,"Census Tract 104, Cook County, Illinois",3612,21.65005537,3.449554896,73,7.698851553,2590,866,50,75,263,17031010400
1400000US17031010501,"Census Tract 105.01, Cook County, Illinois",4035,12.91201983,1.988636364,167,5.409410893,2060,1397,277,195,309,17031010501
1400000US17031010502,"Census Tract 105.02, Cook County, Illinois",2888,31.9598338,6.078860898,58,11.30524152,1546,765,252,224,453,17031010502
1400000US17031010503,"Census Tract 105.03, Cook County, Illinois",1973,59.85808414,18.37488458,38,8.904109589,1411,233,203,15,76,17031010503
1400000US17031010600,"Census Tract 106, Cook County, Illinois",6215,16.57280772,5.387588088,78,5.640107431,3698,1266,292,561,921,17031010600
1400000US17031010701,"Census Tract 107.01, Cook County, Illinois",3562,14.57046603,13.09823678,95,7.609346914,1820,801,272,605,930,17031010701
1400000US17031010702,"Census Tract 107.02, Cook County, Illinois",5206,17.46062236,22.00464653,163,8.707124011,2365,1738,334,249,1667,17031010702
1400000US17031020100,"Census Tract 201, Cook County, Illinois",3742,11.03687867,16.28652887,164,4.141656663,1395,1386,178,453,939,17031020100
1400000US17031020200,"Census Tract 202, Cook County, Illinois",6980,11.21776504,16.08228144,105,5.166051661,3569,560,1166,547,1877,17031020200
1400000US17031020301,"Census Tract 203.01, Cook County, Illinois",5447,11.71286947,7.447108604,200,7.647323437,4530,134,568,88,303,17031020301
1400000US17031020302,"Census Tract 203.02, Cook County, Illinois",4733,7.923093176,4.395973154,152,6.382978723,3576,183,574,149,536,17031020302
1400000US17031020400,"Census Tract 204, Cook County, Illinois",3995,13.44180225,10.52457935,97,5.674518201,1998,896,460,174,1125,17031020400
1400000US17031020500,"Census Tract 205, Cook County, Illinois",6514,23.36505987,31.25,354,5.132382892,1923,910,2895,511,1655,17031020500
1400000US17031020601,"Census Tract 206.01, Cook County, Illinois",6112,30.26832461,13.3145275,191,6.412556054,4216,405,1060,57,265,17031020601
1400000US17031020602,"Census Tract 206.02, Cook County, Illinois",5224,9.360643185,12.60479907,56,6.108312343,2555,658,1044,888,1083,17031020602
